.000,23644.000
23661.000,0.000,23669.000
23659.000,0.000,23658.000
23649.000,0.000,23623.000
23668.000,0.000,23656.000
23660.000,0.000,23636.000
23673.000,0.000,23646.000
23657.000,0.000,23641.000
23659.000,0.000,23628.000
23652.000,0.000,23646.000
23652.000,0.000,23621.000
23660.000,0.000,23632.000
23664.000,0.000,23646.000
23665.000,0.000,23636.000
23649.000,0.000,23632.000
23670.000,0.000,23633.000
23656.000,0.000,23639.000
23669.000,0.000,23647.000
23676.000,0.000,23645.000
23661.000,0.000,23639.000
23653.000,0.000,23637.000
23651.000,0.000,23639.000
23657.000,0.000,23631.000
23670.000,0.000,23643.000
23657.000,0.000,23653.000
23659.000,0.000,23639.000
23658.000,0.000,23649.000
23656.000,0.000,23635.000
23652.000,0.000,23648.000
23669.000,0.000,23645.000
23666.000,0.000,23648.000
23670.000,0.000,23632.000
23652.000,0.000,23633.000
23666.000,0.000,23655.000
23668.000,0.000,23640.000
23671.000,0.000,23653.000
23651.000,0.000,23640.000
23659.000,0.000,23633.000
23664.000,0.000,23633.000
23666.000,0.000,23638.000
23661.000,0.000,23657.000
23658.000,0.000,23659.000
23666.000,0.000,23649.000
23658.000,0.000,23651.000
23651.000,0.000,23626.000
23668.000,0.000,23652.000
23659.000,0.000,23643.000
23670.000,0.000,23649.000
23664.000,0.000,23650.000
23657.000,0.000,23627.000
23670.000,0.000,23636.000
23657.000,0.000,23637.000
23663.000,0.000,23652.000
23660.000,0.000,23651.000
23658.000,0.000,23646.000
23650.000,0.000,23641.000
23665.000,0.000,23638.000
23659.000,0.000,23649.000
23673.000,0.000,23642.000
23662.000,0.000,23653.000
23668.000,0.000,23620.000
23649.000,0.000,23636.000
23659.000,0.000,23643.000
23667.000,0.000,23659.000
23660.000,0.000,23662.000
23663.000,0.000,23638.000
23662.000,0.000,23651.000
23659.000,0.000,23649.000
23655.000,0.000,23659.000
23660.000,0.000,23658.000
28978.000,0.000,30265.000
3801.000,0.000,24026.000
6052.000,0.000,28935.000
14978.000,0.000,31180.000
23518.000,0.000,23305.000
27372.000,0.000,25091.000
32676.000,0.000,17815.000
34804.000,0.000,9478.000
42214.000,0.000,11395.000
49725.000,0.000,23168.000
49704.000,0.000,32304.000
42491.000,0.000,32367.000
36309.000,0.000,35283.000
36302.000,0.000,36475.000
34909.000,0.000,35588.000
32326.000,0.000,35875.000
32281.000,0.000,36313.000
30409.000,0.000,32602.000
29079.000,0.000,32217.000
30182.000,0.000,32124.000
30507.000,0.000,30342.000
29669.000,0.000,29447.000
32193.000,0.000,29979.000
32615.000,0.000,27528.000
32954.000,0.000,26833.000
38695.000,0.000,32183.000
42060.000,0.000,32645.000
42590.000,0.000,34037.000
41878.000,0.000,41860.000
43718.000,0.000,44206.000
39790.000,0.000,43892.000
32232.000,0.000,43102.000
32005.000,0.000,43399.000
29585.000,0.000,38489.000
25039.000,0.000,32202.000
25640.000,0.000,32076.000
28427.000,0.000,30624.000
29142.000,0.000,28822.000
30040.000,0.000,29628.000
32240.000,0.000,30892.000
32589.000,0.000,29754.000
32648.000,0.000,29426.000
34951.000,0.000,32122.000
37506.000,0.000,32574.000
38374.000,0.000,32669.000
37010.000,0.000,35800.000
37832.000,0.000,38149.000
37211.000,0.000,37635.000
32710.000,0.000,35762.000
32138.000,0.000,36412.000
32178.000,0.000,35703.000
31263.000,0.000,32759.000
30014.000,0.000,32183.000
30234.000,0.000,32196.000
31795.000,0.000,31964.000
31307.000,0.000,31008.000
31449.000,0.000,31187.000
32391.000,0.000,30956.000
32614.000,0.000,29240.000
32909.000,0.000,29459.000
37284.000,0.000,32482.000
39659.000,0.000,32579.000
39171.000,0.000,33837.000
39126.000,0.000,39381.000
39585.000,0.000,40014.000
35715.000,0.000,38483.000
32221.000,0.000,38664.000
32110.000,0.000,38327.000
31422.000,0.000,34787.000
29228.000,0.000,32194.000
29154.000,0.000,32139.000
31438.000,0.000,31853.000
31437.000,0.000,31215.000
31277.000,0.000,31002.000
32146.000,0.000,31430.000
32592.000,0.000,30120.000
32577.000,0.000,29279.000
35378.000,0.000,32196.000
38312.000,0.000,32572.000
38905.000,0.000,32718.000
37802.000,0.000,37495.000
38998.000,0.000,39420.000
37780.000,0.000,38490.000
32414.000,0.000,37285.000
32111.000,0.000,37699.000
32165.000,0.000,36267.000
30092.000,0.000,32411.000
29207.000,0.000,32168.000
30396.000,0.000,32101.000
31570.000,0.000,31465.000
31061.000,0.000,30740.000
31947.000,0.000,31582.000
32473.000,0.000,30551.000
32591.000,0.000,29097.000
33742.000,0.000,30337.000
37863.000,0.000,32541.000
39773.000,0.000,32629.000
38838.000,0.000,34952.000
39255.000,0.000,39530.000
39012.000,0.000,39512.000
34221.000,0.000,37945.000
32130.000,0.000,38335.000
32087.000,0.000,37677.000
30583.000,0.000,33497.000
29180.000,0.000,32161.000
29532.000,0.000,32194.000
31549.000,0.000,31721.000
31234.000,0.000,30931.000
31381.000,0.000,31105.000
32290.000,0.000,31117.000
32617.000,0.000,29586.000
32660.000,0.000,29269.000
36319.000,0.000,32340.000
38746.000,0.000,32600.000
38775.000,0.000,33100.000
38248.000,0.000,38352.000
39098.000,0.000,39508.000
36731.000,0.000,38123.000
32269.000,0.000,37803.000
32074.000,0.000,37789.000
32065.000,0.000,35306.000
29843.000,0.000,32295.000
