,48.000,1403.000
4.183,48.000,1404.000
4.183,48.000,1403.000
4.183,48.000,1404.000
4.185,48.000,1403.000
4.185,48.000,1404.000
4.186,48.000,1404.000
4.188,48.000,1404.000
4.189,48.000,1404.000
4.191,48.000,1403.000
4.194,48.000,1403.000
4.195,48.000,1403.000
4.199,48.000,1403.000
4.202,48.000,1404.000
4.206,48.000,1402.000
4.209,48.000,1404.000
4.214,48.000,1404.000
4.218,48.000,1402.000
4.225,48.000,1404.000
4.229,48.000,1404.000
4.235,48.000,1403.000
4.240,48.000,1404.000
4.246,48.000,1404.000
4.252,48.000,1404.000
4.260,48.000,1403.000
4.266,48.000,1403.000
4.274,48.000,1402.000
4.281,48.000,1403.000
4.289,48.000,1404.000
4.297,48.000,1402.000
4.306,48.000,1402.000
4.315,48.000,1403.000
4.324,48.000,1403.000
4.333,48.000,1402.000
4.341,48.000,1402.000
4.350,48.000,1402.000
4.360,48.000,1402.000
4.369,48.000,1403.000
4.378,48.000,1403.000
4.387,48.000,1402.000
4.396,48.000,1403.000
4.404,48.000,1403.000
4.413,48.000,1402.000
4.421,48.000,1402.000
4.430,48.000,1402.000
4.438,48.000,1403.000
4.445,48.000,1402.000
4.453,48.000,1403.000
4.461,48.000,1403.000
4.468,48.000,1403.000
4.476,48.000,1405.000
4.484,48.000,1402.000
4.490,48.000,1404.000
4.498,48.000,1403.000
4.504,48.000,1404.000
4.510,48.000,1403.000
4.518,48.000,1403.000
4.524,48.000,1403.000
4.530,48.000,1404.000
4.536,48.000,1403.000
4.544,48.000,1402.000
4.548,48.000,1402.000
4.556,48.000,1403.000
4.561,48.000,1403.000
4.567,48.000,1405.000
4.573,48.000,1404.000
4.579,48.000,1404.000
4.584,48.000,1403.000
4.590,48.000,1404.000
4.596,48.000,1404.000
4.600,48.000,1404.000
4.607,48.000,1405.000
4.613,48.000,1404.000
4.617,48.000,1404.000
4.623,48.000,1404.000
4.628,48.000,1405.000
4.633,48.000,1405.000
4.637,48.000,1405.000
4.642,48.000,1404.000
4.646,48.000,1405.000
4.651,48.000,1405.000
4.656,48.000,1403.000
4.660,48.000,1403.000
4.665,48.000,1405.000
4.669,48.000,1406.000
4.674,48.000,1406.000
4.679,48.000,1404.000
4.683,48.000,1406.000
4.688,48.000,1406.000
4.694,48.000,1406.000
4.700,48.000,1406.000
4.705,48.000,1406.000
4.711,48.000,1404.000
4.717,48.000,1406.000
4.725,48.000,1406.000
4.731,48.000,1406.000
4.738,48.000,1407.000
4.746,48.000,1407.000
4.754,48.000,1406.000
4.763,48.000,1407.000
4.772,48.000,1408.000
4.783,48.000,1408.000
4.794,48.000,1408.000
4.804,48.000,1409.000
4.815,48.000,1407.000
4.826,48.000,1408.000
4.837,48.000,1408.000
4.847,48.000,1409.000
4.858,48.000,1411.000
4.867,48.000,1409.000
4.878,48.000,1410.000
4.886,48.000,1410.000
4.895,48.000,1410.000
4.903,48.000,1410.000
4.909,48.000,1410.000
4.916,48.000,1411.000
4.923,48.000,1412.000
4.930,48.000,1411.000
4.935,48.000,1412.000
4.941,48.000,1413.000
4.947,48.000,1413.000
4.953,48.000,1414.000
4.959,48.000,1412.000
4.964,48.000,1413.000
4.970,48.000,1413.000
4.976,48.000,1413.000
4.982,48.000,1413.000
4.989,48.000,1413.000
4.995,48.000,1414.000
5.001,48.000,1414.000
5.008,48.000,1414.000
5.015,48.000,1414.000
5.021,48.000,1415.000
5.028,48.000,1415.000
5.035,48.000,1415.000
5.041,48.000,1415.000
5.048,48.000,1416.000
5.056,48.000,1416.000
5.062,48.000,1416.000
5.070,48.000,1417.000
5.076,48.000,1417.000
5.082,48.000,1417.000
5.090,48.000,1418.000
5.096,48.000,1417.000
5.104,48.000,1417.000
5.110,48.000,1417.000
5.117,48.000,1418.000
5.123,48.000,1417.000
5.131,48.000,1418.000
5.139,48.000,1418.000
5.147,48.000,1419.000
5.154,48.000,1419.000
5.162,48.000,1419.000
5.170,48.000,1421.000
5.179,48.000,1419.000
5.186,48.000,1420.000
5.194,48.000,1422.000
5.202,48.000,1420.000
5.209,48.000,1421.000
5.217,48.000,1420.000
5.225,48.000,1421.000
5.232,48.000,1422.000
5.239,48.000,1422.000
5.246,48.000,1422.000
5.252,48.000,1422.000
5.260,48.000,1421.000
5.268,48.000,1422.000
5.275,48.000,1422.000
5.283,48.000,1423.000
5.291,48.000,1423.000
5.300,48.000,1423.000
5.308,48.000,1422.000
5.317,48.000,1423.000
5.324,48.000,1422.000
5.332,48.000,1423.000
5.340,48.000,1422.000
5.346,48.000,1424.000
5.354,48.000,1423.000
5.360,48.000,1425.000
5.364,48.000,1423.000
5.370,48.000,1423.000
5.375,48.000,1423.000
5.378,48.000,1424.000
5.383,48.000,1424.000
5.386,48.000,1424.000
5.390,48.000,1424.000
5.393,48.000,1423.000
5.397,48.000,1424.000
5.400,48.000,1424.000
5.404,48.000,1424.000
5.407,48.000,1423.000
5.410,48.000,1423.000
5.415,48.000,1423.000
5.420,48.000,1423.000
5.426,48.000,1425.000
5.430,48.000,1425.000
5.436,48.000,1424.000
5.443,48.000,1424.000
5.447,48.000,1422.000
5.453,48.000,1423.000
5.459,48.000,1424.000
5.466,48.000,1423.000
5.472,48.000,1424.000
5.478,48.000,1423.000
5.484,48.000,1424.000
5.490,48.000,1423.000
5.498,48.000,1423.000
5.504,48.000,1424.000
5.512,48.000,1423.000
5.519,48.000,1422.000
5.527,48.000,1422.000
5.535,48.000,1424.000
5.542,48.000,1425.000
5.550,48.000,1423.000
5.558,48.000,1424.000
5.565,48.000,1424.000
5.573,48.000,1423.000
5.582,48.000,1422.000
5.591,48.000,1423.000
5.599,48.000,1422.000
5.608,48.000,1423.000
5.617,48.000,1422.000
5.627,48.000,1422.000
5.636,48.000,1421.000
5.645,48.000,1421.000
5.656,48.000,1421.000
5.667,48.000,1421.000
5.676,48.000,1421.000
5.686,48.000,1421.000
5.697,48.000,1420.000
5.706,48.000,1420.000
5.717,48.000,1419.000
5.726,48.000,1419.000
5.736,48.000,1419.000
5.743,48.000,1419.000
5.752,48.000,1418.000
5.760,48.000,1418.000
5.768,48.000,1418.000
5.775,48.000,1417.000
5.785,48.000,1417.000
5.792,48.000,1417.000
5.800,48.000,1417.000
5.808,48.000,1416.000
5.815,48.000,1416.000
5.823,48.000,1416.000
5.831,48.000,1417.000
5.837,48.000,1416.000
5.844,48.000,1415.000
5.852,48.000,1415.000
5.860,48.000,1414.000
5.866,48.000,1414.000
5.874,48.000,1413.000
5.880,48.000,1415.000
5.886,48.000,1413.000
5.894,48.000,1413.000
5.900,48.000,1414.000
5.906,48.000,1411.000
5.913,48.000,1412.000
5.920,48.000,1413.000
5.926,48.000,1412.000
5.932,48.000,1412.000
5.938,48.000,1411.000
5.944,48.000,1413.000
5.952,48.000,1412.000
5.958,48.000,1412.000
5.966,48.000,1411.000
5.972,48.000,1411.000
5.979,48.000,1410.000
5.986,48.000,1411.000
5.993,48.000,1410.000
5.999,48.000,1409.000
6.006,48.000,1408.000
6.013,48.000,1407.000
6.019,48.000,1407.000
6.025,48.000,1408.000
6.033,48.000,1408.000
6.039,48.000,1409.000
6.047,48.000,1408.000
6.053,48.000,1409.000
6.061,48.000,1407.000
6.067,48.000,1406.000
6.075,48.000,1408.000
6.081,48.000,1406.000
6.088,48.000,1406.000
6.096,48.000,1405.000
6.104,48.000,1406.000
6.111,48.000,1406.000
6.119,48.000,1405.000
6.127,48.000,1405.000
6.136,48.000,1405.000
6.144,48.000,1405.000
6.151,48.000,1404.000
6.160,48.000,1405.000
6.168,48.000,1404.000
6.176,48.000,1404.000
6.185,48.000,1402.000
6.193,48.000,1404.000
6.200,48.000,1403.000
